Transaction_Count,Average_Amount,Recency,Amount_Sum,is_high_risk
52,118.83282713065782,86,4603.667004865431,1
93,68.73402999350458,185,1339.6518231472814,0
15,175.4314339877777,285,3507.514503222573,1
72,472.0257549171344,220,469.6292807398694,1
61,168.36943669017006,69,914.4556163553393,1
21,264.2074046542494,47,1162.364622273807,1
83,354.4792898586372,94,1543.0203395132064,0
87,188.17850516585406,238,4979.5737376439165,1
75,486.17322053327075,204,3514.9327737326926,0
75,481.5991745216345,218,1982.5889737581776,1
88,133.37332495442843,341,3711.7934586307942,1
24,253.65176788726887,39,4584.746274178621,0
3,157.43037181021714,100,4797.641796298446,1
22,149.57184224495913,289,383.53309901276623,1
53,28.07460420372107,254,2033.1568131798363,1
2,308.68652365014947,222,623.1047230858335,0
88,256.3127213821421,357,1744.7343175051196,1
30,35.224588112494786,23,931.4315290882711,0
38,146.5367674759396,250,3269.556972176747,1
2,455.05028412366033,10,2002.5150815503737,0
64,127.38532642681649,246,1224.0342539542535,0
60,80.99848732469931,325,1403.095832324771,1
21,249.83185253600587,100,1865.6909665058145,1
33,492.9687225141943,290,1373.7543279858871,0
76,128.6070830406352,180,2320.880149461272,0
58,339.3464182288805,223,258.3481604372873,1
22,383.1936115110716,250,1470.841185127834,0
89,126.44239655627584,147,2114.9129322737126,1
49,366.8260108198112,96,3053.631221914163,1
91,190.21373503243407,257,1427.6924483241364,1
59,319.82985699085395,325,752.6071135963736,1
42,320.4295582728384,4,473.3818600358994,0
92,272.52959519663165,16,4708.6059529633785,1
60,54.241987326660066,280,2141.531382918548,0
80,419.2982228387266,336,2947.6968437860487,1
15,167.18223183615055,247,4603.965103994242,0
62,101.39407009592857,258,505.46725817300006,1
62,29.97981936183432,160,4395.6412810363845,0
47,299.5375421622385,340,2802.780575465943,0
62,342.00653730271836,152,907.6878795713046,1
51,18.128036174649516,178,2115.1500712683082,1
55,260.9255985666477,163,3910.251190302605,1
64,120.98292984698959,33,2453.813401145138,1
3,326.13466730063044,179,4927.901648260971,0
51,95.43955021244581,101,1946.0209526959097,1
7,348.55949167020833,268,3772.9336698827533,0
21,199.50031968726333,323,2025.6482999964096,0
73,468.99769448099994,65,4162.9046814619205,1
39,77.38526263153669,168,2888.4991989121636,0
18,177.12251201462666,330,411.2079649910066,0
